id,text,label,language,dataset_type,dataset,clean_text,split
941,y?de ay?yie ma twediamp?n nyame nn? dwo? yi s? ?de ne ba yese mogya gyee y?n nkwa,positive,twi,monolingual,asante_twi_senti,y?de ay?yie ma twediamp?n nyame nn? dwo? yi s? ?de ne ba yese mogya gyee y?n nkwa,train
3757,mesee,neutral,twi,monolingual,asante_twi_senti,mesee,train
7372,stranded sɛnhe no pick flight come london,negative,mixed,multilingual,asante_twi_senti,stranded sɛnhe no pick flight come london,train
8641,anaa sister meyare 😀😀😀😀,neutral,mixed,multilingual,asante_twi_senti,anaa sister meyare 😀😀😀😀,test
1925,“ ?bra twa owuo”,positive,twi,monolingual,asante_twi_senti,“ ?bra twa owuo”,train
1427,atetekwaa kyiri ?mama,positive,twi,monolingual,asante_twi_senti,atetekwaa kyiri ?mama,train
8233,covid kwraa is tired of ghana people chop money on its back saa he taya self,negative,mixed,multilingual,asante_twi_senti,covid kwraa is tired of ghana people chop money on its back saa he taya self,train
47,akwaaba medaase  sco,negative,twi,monolingual,asante_twi_senti,akwaaba medaase sco,train
8058,lol  na ɛneɛ wonte twi  i read it fine ba cudnt understand   mekɔɔ bi na manka bi a na mankɔ,positive,mixed,multilingual,asante_twi_senti,lol na ɛneɛ wonte twi i read it fine ba cudnt understand mekɔɔ bi na manka bi a na mankɔ,train
8097,me nnamfoɔ i follow several accounts that tweet primarily in swahili but for twi i have only found  suggestions,positive,mixed,multilingual,asante_twi_senti,me nnamfoɔ i follow several accounts that tweet primarily in swahili but for twi i have only found suggestions,test
7366,i remember when my girl was cheating on me and i questioned her the reply she gave me was wo gye obi girl aa ɛyɛ wo dɛ whiles she continue to cheat till now when i remember i shout herrh,neutral,mixed,multilingual,asante_twi_senti,i remember when my girl was cheating on me and i questioned her the reply she gave me was wo gye obi girl aa ɛyɛ wo dɛ whiles she continue to cheat till now when i remember i shout herrh,test
618,saa na ?y? “ menso midi wakyi gidigidi koraa    medi wakyi di makyi bi wai”,positive,twi,monolingual,asante_twi_senti,saa na ?y? “ menso midi wakyi gidigidi koraa medi wakyi di makyi bi wai”,train
3103,?kwan tenten biara wie w? w’aboboano,positive,twi,monolingual,asante_twi_senti,?kwan tenten biara wie w? w’aboboano,train
1015,?kyeame a ?nnim nas?m ka no na dabiara ?ka s? nana wo s?m pa anaa nana wo aso mu a,positive,twi,monolingual,asante_twi_senti,?kyeame a ?nnim nas?m ka no na dabiara ?ka s? nana wo s?m pa anaa nana wo aso mu a,train
3580,no swahili is like a english word for kiswahili now waswahili refers to the people usi…,neutral,twi,monolingual,asante_twi_senti,no swahili is like a english word for kiswahili now waswahili refers to the people usi…,train
3679,wei de? ny? wo,positive,twi,monolingual,asante_twi_senti,wei de? ny? wo,train
8547,early days o chairman anaa me y finn🤔,neutral,mixed,multilingual,asante_twi_senti,early days o chairman anaa me y finn🤔,train
2120,s? aduaba bi b?b? ak?se a hw? ne nfifiriy? mu,positive,twi,monolingual,asante_twi_senti,s? aduaba bi b?b? ak?se a hw? ne nfifiriy? mu,dev
5088,mepa wo ky?w fe ase kyer? s?n w? bor?fokasa mu,neutral,twi,monolingual,asante_twi_senti,mepa wo ky?w fe ase kyer? s?n w? bor?fokasa mu,test
1496,ne? ?nim ako no ?nnim dwane,positive,twi,monolingual,asante_twi_senti,ne? ?nim ako no ?nnim dwane,train
4921,woamfa nokor? anto baabi a ?da no a ?firi t? fam,positive,twi,monolingual,asante_twi_senti,woamfa nokor? anto baabi a ?da no a ?firi t? fam,dev
3954,wop dwom mu anigye aa,neutral,twi,monolingual,asante_twi_senti,wop dwom mu anigye aa,train
4169,yeah nanso wobetumi asanso afr anaa woada,neutral,twi,monolingual,asante_twi_senti,yeah nanso wobetumi asanso afr anaa woada,train
5014,aboter? tutu mmop?,positive,twi,monolingual,asante_twi_senti,aboter? tutu mmop?,train
6383,dem ask you what you want for valentine yet anaa ynkɔ da😂,neutral,ghanaian_pidgin,pidgin,asante_twi_senti,dem ask you what you want for valentine yet anaa ynkɔ da😂,train
8985,liverpool di dabi dabi beye yie … amakye made that track for us ‘ 😓,negative,mixed,multilingual,asante_twi_senti,liverpool di dabi dabi beye yie … amakye made that track for us ‘ 😓,train
6357,disturb dey ein somewhere nso he catch stray bullet,neutral,ghanaian_pidgin,pidgin,asante_twi_senti,disturb dey ein somewhere nso he catch stray bullet,train
4842,na moagyimi anaa,negative,twi,monolingual,asante_twi_senti,na moagyimi anaa,train
2797,nea ?de n’ani na ?fee ase?,neutral,twi,monolingual,asante_twi_senti,nea ?de n’ani na ?fee ase?,test
