id,text,label,language,dataset_type,dataset,clean_text
193,me ly paa oo nso me sika sem ny ??,multilingual,twi,monolingual,asante_twi_senti,me ly paa oo nso me sika sem ny ??
416,what will be the importance of tweeting earlier gimiii saa,multilingual,twi,monolingual,asante_twi_senti,what will be the importance of tweeting earlier gimiii saa
804,s? wob?n asuo ho a na wo b? te s? ?k?t? reb? wa,positive & negative,twi,monolingual,asante_twi_senti,s? wob?n asuo ho a na wo b? te s? ?k?t? reb? wa
1252,wanim tis koobi   trumudiifo   bra panyin medi wakyi wai    medi wakyi di makyi,positive & negative,twi,monolingual,asante_twi_senti,wanim tis koobi trumudiifo bra panyin medi wakyi wai medi wakyi di makyi
1908,nkwan dwo a ano sini biara tumi ka bi hw?,positive & negative,twi,monolingual,asante_twi_senti,nkwan dwo a ano sini biara tumi ka bi hw?
2871,de? ?ntumi dane de? ?tumi,positive & negative,twi,monolingual,asante_twi_senti,de? ?ntumi dane de? ?tumi
3357,?boafo? ho y? na nanso adefop?fo? ho ny? na koraa,positive & negative,twi,monolingual,asante_twi_senti,?boafo? ho y? na nanso adefop?fo? ho ny? na koraa
3494,de? wahw? wo ama wo se afifiri no wo nso wohw? no ma ne de? tutu,positive & negative,twi,monolingual,asante_twi_senti,de? wahw? wo ama wo se afifiri no wo nso wohw? no ma ne de? tutu
3602,ansa na y?b?wo akwadaa nyansafo? no na y?awo ?panin kwasea,positive & negative,twi,monolingual,asante_twi_senti,ansa na y?b?wo akwadaa nyansafo? no na y?awo ?panin kwasea
3631,onua ?kyeredaako mpanin se nyansap? w?sane no badwemma kane bi ne no na medwene s? woka w?nom a w?tumi san…,positive & negative,twi,monolingual,asante_twi_senti,onua ?kyeredaako mpanin se nyansap? w?sane no badwemma kane bi ne no na medwene s? woka w?nom a w?tumi san…
3769,matematika,twi,twi,monolingual,asante_twi_senti,matematika
3784,na s woo wagyimi saawano ho nwin s kway wati siiatono wonder  said u bi funny,positive & negative,twi,monolingual,asante_twi_senti,na s woo wagyimi saawano ho nwin s kway wati siiatono wonder said u bi funny
3832,wo boo wa wo pa ky?w,positive & negative,twi,monolingual,asante_twi_senti,wo boo wa wo pa ky?w
3850,matron mabr saa but nyame adom nti m’ay fit biom,positive & negative,twi,monolingual,asante_twi_senti,matron mabr saa but nyame adom nti m’ay fit biom
3869,rebet saa na aka wo pesewas,multilingual,twi,monolingual,asante_twi_senti,rebet saa na aka wo pesewas
4266,ad?n moahw? footage anaa ??,positive & negative,twi,monolingual,asante_twi_senti,ad?n moahw? footage anaa ??
4299,nka asm bi w h anaa,positive & negative,twi,monolingual,asante_twi_senti,nka asm bi w h anaa
4339,ah that rui costa nu wagyimi anaa ?? is the club his president mpo nie na owner ntweew ????,ghanaian pidgin,twi,monolingual,asante_twi_senti,ah that rui costa nu wagyimi anaa ?? is the club his president mpo nie na owner ntweew ????
4356,wo nso saa,positive & negative,twi,monolingual,asante_twi_senti,wo nso saa
4440,ei na wei nso firi hin??,positive & negative,twi,monolingual,asante_twi_senti,ei na wei nso firi hin??
4453,nyansa nni baako fuo trim????,positive & negative,twi,monolingual,asante_twi_senti,nyansa nni baako fuo trim????
